Accuracy,Sensitivity,Specificity,MCC,Distance,Averaging,Dataset,Number of Classes,Aggregation,Gamma,Cost,Tool,Indep. Accuracy,Indep. Sensitivity,Indep. Specificity,Indep. MCC
0.69458,0.70002,0.69366,0.28,0.1946259859,Micro,down sampled,7,balanced average,list tbd,list tbd,SVMLight,0.71918,0.78284,0.70858,0.35
0.7314971429,0.6391514286,0.6985885714,0.27,0.2208807091,Macro,shuffled,7,balanced average,list tbd,list tbd,SVMLight,0.7240428571,0.6404771429,0.70612,0.3
0.7315,0.73848,0.73036,0.34,0.1204263925,Micro,shuffled,7,balanced average,list tbd,list tbd,SVMLight,0.72406,0.71668,0.72528,0.32
0.8487171429,0.3405914286,0.8958371429,0.28,0.4861382408,Macro,balanced,7,maximum probability,list tbd,list tbd,SVMLight,0.8309542857,0.3077771429,0.8895628571,0.24
0.84872,0.47052,0.91174,0.38,0.356639474,Micro,balanced,7,maximum probability,list tbd,list tbd,SVMLight,0.83096,0.40834,0.90138,0.3
0.8435228571,0.45238,0.9087228571,0.34,0.3785881064,Macro,down sampled,7,maximum probability,list tbd,list tbd,SVMLight,0.8449028571,0.4571428571,0.9095171429,0.37
0.8435,0.4524,0.90874,0.36,0.3727175762,Micro,down sampled,7,maximum probability,list tbd,list tbd,SVMLight,0.8449,0.45714,0.90952,0.36
0.8432228571,0.33522,0.8914914286,0.27,0.491755503,Macro,shuffled,7,maximum probability,list tbd,list tbd,SVMLight,0.8295257143,0.3036514286,0.88854,0.23
0.84322,0.45128,0.90856,0.35,0.3762387146,Micro,shuffled,7,maximum probability,list tbd,list tbd,SVMLight,0.82952,0.40334,0.90054,0.3
0.8073285714,0.4664028571,0.81696,0.3,0.3407765722,Macro,balanced,7,unweighted average,value tbd,value tbd,SVMLight,0.7940457143,0.4682542857,0.8174714286,0.3
0.80732,0.6,0.84186,0.37,0.2155837935,Micro,balanced,7,unweighted average,value tbd,value tbd,SVMLight,0.79406,0.56832,0.83166,0.33
0.8190457143,0.4833285714,0.8749971429,0.33,0.3364762213,Macro,down sampled,7,unweighted average,value tbd,value tbd,SVMLight,0.8244885714,0.4771428571,0.88238,0.36
0.81902,0.48334,0.875,0.32,0.3404509509,Micro,down sampled,7,unweighted average,value tbd,value tbd,SVMLight,0.82448,0.47714,0.88238,0.33
0.8042114286,0.4696028571,0.8149171429,0.29,0.3418741296,Macro,shuffled,7,unweighted average,value tbd,value tbd,SVMLight,0.7933314286,0.4669828571,0.8163085714,0.31
